company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Domestika;Data Scientist;2.4;43000;46000;45000;EUR;yearly;Barcelona
Desigual;Data Scientist;3.6;959;1000;1000;EUR;monthly;Barcelona
Adevinta Spain;Data Scientist;4;580;622;601;EUR;monthly;Barcelona
Henkel;Data Scientist;4.3;43000;47000;45000;EUR;yearly;Barcelona
Computacenter;Data Scientist;3.7;21000;23000;22000;EUR;yearly;Barcelona
NEORIS;Data Scientist;4;34000;37000;35000;EUR;yearly;Barcelona
Bluetab;Data Scientist;4.1;27000;29000;28000;EUR;yearly;Barcelona
Siemens Energy;Data Scientist;4.2;31000;34000;33000;EUR;yearly;Barcelona
Tech Data;Data Scientist;3.8;19000;21000;20000;EUR;yearly;Barcelona
Boehringer Ingelheim;Data Scientist;4.1;48000;52000;50000;EUR;yearly;Barcelona
ESADE;Data Scientist;4.2;24000;26000;25000;EUR;yearly;Barcelona
ABB;Data Scientist;4;41000;45000;43000;EUR;yearly;Barcelona
Eurecat;Data Scientist;3.5;10;10;10;EUR;hourly;Barcelona
The Coca-Cola Company;Data Scientist;4.1;38000;41000;40000;EUR;yearly;Barcelona
Eurecat;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Barcelona
SelfEmployed.com;Data Scientist;4.4;4000;4000;4000;EUR;monthly;Barcelona
Ocado Technology;Data Scientist;3.7;34000;37000;36000;EUR;yearly;Barcelona
Generali;Data Scientist;3.7;961;1000;998;EUR;monthly;Barcelona
CHEP;Data Scientist;4;38000;42000;40000;EUR;yearly;Barcelona
Ironhack;Data Scientist;3.5;24000;26000;25000;EUR;yearly;Barcelona
Norwegian Air Shuttle;Data Scientist;4.3;43000;47000;45000;EUR;yearly;Barcelona
Page Personnel;Data Scientist;3.6;28000;30000;29000;EUR;yearly;Barcelona
Werfen;Data Scientist;4;46000;50000;48000;EUR;yearly;Barcelona
Frontiers;Data Scientist;2.7;39000;41000;40000;EUR;yearly;Barcelona
Ecolab;Data Scientist;3.7;29000;31000;30000;EUR;yearly;Barcelona
Altran Technologies;Data Scientist;3.1;34000;36000;35000;EUR;yearly;Barcelona
Vall d'Hebron Institut de Recerca;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Barcelona
Skyscanner;Data Scientist;4.5;72000;77000;75000;EUR;yearly;Barcelona
SCRM;Data Scientist;4.3;32000;34000;33000;EUR;yearly;Barcelona
Kantox;Data Scientist;4.6;763;832;797;EUR;monthly;Barcelona
Softonic;Data Scientist;4.5;57000;62000;60000;EUR;yearly;Barcelona
SeQura;Data Scientist;4.4;30000;33000;31000;EUR;yearly;Barcelona
Scalpers Fashion;Data Scientist;3.3;19;21;20;EUR;hourly;Barcelona
Center for Genomic Regulation;Data Scientist;4.3;29000;31000;30000;EUR;yearly;Barcelona
Eli Lilly and Company;Data Scientist;4.1;100000;107000;104000;EUR;yearly;Barcelona
Privalia;Data Scientist;3.3;27000;29000;28000;EUR;yearly;Barcelona
Universidad de Vigo;Data Scientist;4;29000;31000;30000;EUR;yearly;Barcelona
Nokia;Data Scientist;4;63000;68000;65000;EUR;yearly;Barcelona
Firmenich;Data Scientist;3.8;63000;69000;66000;EUR;yearly;Barcelona
TTTech Auto;Data Scientist;3.5;32000;34000;33000;EUR;yearly;Barcelona
Essity;Data Scientist;3.9;46000;50000;48000;EUR;yearly;Barcelona
Institut d'Investigacions Biomèdiques August Pi i Sunyer;Data Scientist;3.6;25000;27000;26000;EUR;yearly;Barcelona
Netquest (Spain);Data Scientist;3;17000;19000;18000;EUR;yearly;Barcelona
NPAW;Data Scientist;2.5;21000;23000;22000;EUR;yearly;Barcelona
IsGlobal;Data Scientist;4.2;26000;28000;27000;EUR;yearly;Barcelona
PromoFarma by DocMorris;Data Scientist;3.5;53000;57000;55000;EUR;yearly;Barcelona
Catalana Occidente;Data Scientist;3.8;9;9;9;EUR;hourly;Barcelona
PromoFarma by DocMorris;Data Scientist;3.5;53000;58000;55000;EUR;yearly;Barcelona
Verychic;Data Scientist;3.6;716;781;749;EUR;monthly;Barcelona
Verychic;Data Scientist;3.6;52000;57000;55000;EUR;yearly;Barcelona
M47 AI Company;Data Scientist;3.3;48000;52000;50000;EUR;yearly;Barcelona
Anonymous;Data Scientist;3.5;57000;63000;60000;EUR;yearly;Barcelona
Meta;Data Scientist;3.9;38000;41000;40000;EUR;yearly;Barcelona
Colvin;Data Scientist;3.4;34000;36000;35000;EUR;yearly;Barcelona
Ametller Origen;Data Scientist;3.4;28000;30000;29000;EUR;yearly;Barcelona
NexTReT;Data Scientist;3.2;45000;49000;47000;EUR;yearly;Barcelona
CIRSA;Data Scientist;3.6;29000;31000;30000;EUR;yearly;Barcelona
KIABI;Data Scientist;3.7;38000;42000;40000;EUR;yearly;Barcelona
dsm-firmenich;Data Scientist;3.8;49000;52000;51000;EUR;yearly;Barcelona
Mad Collective;Data Scientist;3.3;38000;42000;40000;EUR;yearly;Barcelona
Weekendesk;Data Scientist;3.7;27000;29000;28000;EUR;yearly;Barcelona
Celsa Group;Data Scientist;3.8;21000;23000;22000;EUR;yearly;Barcelona
Verne Technology Group;Data Scientist;4;37000;39000;38000;EUR;yearly;Barcelona
Teladoc Health;Data Scientist;3.3;54000;59000;56000;EUR;yearly;Barcelona
Grupo Constant;Data Scientist;3.3;34000;36000;35000;EUR;yearly;Barcelona
GFT;Data Scientist;4.3;32000;35000;34000;EUR;yearly;Barcelona
InnoIT;Data Scientist;4.2;43000;47000;45000;EUR;yearly;Barcelona
F.C. Barcelona;Data Scientist;3.9;21;23;22;EUR;hourly;Barcelona
ITnow;Data Scientist;3.5;23000;25000;24000;EUR;yearly;Barcelona
F.C. Barcelona;Data Scientist;3.9;77000;84000;80000;EUR;yearly;Barcelona
Zeptolab;Data Scientist;4.1;45000;49000;47000;EUR;yearly;Barcelona
University of Girona;Data Scientist;4.1;29000;31000;30000;EUR;yearly;Barcelona
KingEclient;Data Scientist;3.5;38000;41000;40000;EUR;yearly;Barcelona
Grupo Tyspa;Data Scientist;3.9;21000;23000;22000;EUR;yearly;Barcelona
CINESA;Data Scientist;3.6;39000;42000;41000;EUR;yearly;Barcelona
QIAGEN;Data Scientist;3.7;8;8;8;EUR;hourly;Barcelona
GE Vernova;Data Scientist;3.8;43000;47000;45000;EUR;yearly;Barcelona
FocusEconomics;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Barcelona
Schibsted;Data Scientist;4.2;951;1000;993;EUR;monthly;Barcelona
PayXpert;Data Scientist;4;29000;31000;30000;EUR;yearly;Barcelona
SITA;Data Scientist;3.6;26000;28000;27000;EUR;yearly;Barcelona
ID Finance;Data Scientist;3.6;70000;76000;73000;EUR;yearly;Barcelona
Koa Health Digital Solutions;Data Scientist;3.2;68000;73000;70000;EUR;yearly;Barcelona
Festo;Data Scientist;4;44000;48000;46000;EUR;yearly;Barcelona
OpenText;Data Scientist;3.4;41000;45000;43000;EUR;yearly;Barcelona
Platanomelón;Data Scientist;3.6;33000;36000;35000;EUR;yearly;Barcelona
IThinkUPC;Data Scientist;3.8;27000;29000;28000;EUR;yearly;Barcelona
HSBC;Data Scientist;3.9;48000;52000;50000;EUR;yearly;Barcelona
UVE;Data Scientist;4.2;7;7;7;EUR;hourly;Barcelona
Subway;Data Scientist;3.4;32000;35000;33000;EUR;yearly;Barcelona
ABA English;Data Scientist;3.4;44000;48000;46000;EUR;yearly;Barcelona
Software AG;Data Scientist;3.9;38000;42000;40000;EUR;yearly;Barcelona
TeamCMP;Data Scientist;3.7;53000;58000;55000;EUR;yearly;Barcelona
Deporvillage;Data Scientist;2.7;48000;52000;50000;EUR;yearly;Barcelona
Emailing Network;Data Scientist;3.2;45000;50000;47000;EUR;yearly;Barcelona
Institut de Recerca en Energia;Data Scientist;3.5;574;619;597;EUR;monthly;Barcelona
Rover.com;Data Scientist;3.9;43000;46000;45000;EUR;yearly;Barcelona
PharmaLex;Data Scientist;3.2;35000;37000;36000;EUR;yearly;Barcelona
Grupo Godó;Data Scientist;2.7;58000;62000;60000;EUR;yearly;Barcelona
Grupo CMC;Data Scientist;2.9;29000;31000;30000;EUR;yearly;Barcelona
Cash App;Data Scientist;3.7;69000;74000;72000;EUR;yearly;Barcelona
Aizon;Data Scientist;4.1;45000;49000;47000;EUR;yearly;Barcelona
Altostratus Cloud Consulting;Data Scientist;3.5;23000;25000;24000;EUR;yearly;Barcelona
Centre for Research in Agricultural Genomics - CRAG;Data Scientist;4.1;58000;62000;60000;EUR;yearly;Barcelona
Rentals United;Data Scientist;4.2;28000;30000;29000;EUR;yearly;Barcelona
Beabloo;Data Scientist;2.4;27000;29000;28000;EUR;yearly;Barcelona
Beabloo;Data Scientist;2.4;23000;25000;24000;EUR;yearly;Barcelona
Unnax;Data Scientist;4;9;9;9;EUR;hourly;Barcelona
Limitless Games;Data Scientist;2.1;49000;54000;51000;EUR;yearly;Barcelona
Sportium Apuestas Deportivas;Data Scientist;3.4;48000;52000;50000;EUR;yearly;Barcelona
Infosys;Data Scientist;3.6;46000;50000;48000;EUR;yearly;Barcelona
Multiplica;Data Scientist;3.4;30000;33000;31000;EUR;yearly;Barcelona
None of Your Business Boutique;Data Scientist;4.1;58000;62000;60000;EUR;yearly;Barcelona
BLING;Data Scientist;4.1;33000;36000;34000;EUR;yearly;Barcelona
Ofertia;Data Scientist;3.6;34000;38000;36000;EUR;yearly;Barcelona
CatSalut. Catalan Health Service;Data Scientist;2.9;40000;42000;41000;EUR;yearly;Barcelona
Pagantis;Data Scientist;3.3;84000;90000;87000;EUR;yearly;Barcelona
CornerJob;Data Scientist;2.9;27000;29000;28000;EUR;yearly;Barcelona
Locaria;Data Scientist;4.5;40000;44000;42000;EUR;yearly;Barcelona
BanSabadell Vida;Data Scientist;4;34000;36000;35000;EUR;yearly;Barcelona
IDEMIA;Data Scientist;3.9;10000;10000;10000;EUR;yearly;Barcelona
Accentue;Data Scientist;4.2;38000;42000;40000;EUR;yearly;Barcelona
Toptal;Data Scientist;3.5;43;47;45;EUR;hourly;Barcelona
Toptal;Data Scientist;3.5;52;57;55;EUR;hourly;Barcelona
Billy;Data Scientist;3.9;46000;50000;48000;EUR;yearly;Barcelona
Social Games Online;Data Scientist;3.6;33000;36000;35000;EUR;yearly;Barcelona
Ubiqum Code Academy;Data Scientist;3.5;46000;49000;47000;EUR;yearly;Barcelona
GoldenSpear;Data Scientist;2.4;34000;37000;35000;EUR;yearly;Barcelona
Urgo Medical;Data Scientist;3.8;10;10;10;EUR;hourly;Barcelona
Ogilvy;Data Scientist;3.5;19000;21000;20000;EUR;yearly;Barcelona
Entravision;Data Scientist;3.4;59000;63000;61000;EUR;yearly;Barcelona
Glassdoor;Data Scientist;4.2;54000;59000;56000;EUR;yearly;Barcelona
Hemav;Data Scientist;3.9;33000;36000;35000;EUR;yearly;Barcelona
Econocom;Data Scientist;2.9;19000;21000;20000;EUR;yearly;Barcelona
Page Group (London);Data Scientist;3.7;28000;30000;29000;EUR;yearly;Barcelona
Institut d'Estudis Espacials de Catalunya;Data Scientist;3.8;31000;33000;32000;EUR;yearly;Barcelona
Saptools Consulting;Data Scientist;2.8;35000;37000;36000;EUR;yearly;Barcelona
inLab FIB;Data Scientist;4.9;554;605;580;EUR;monthly;Barcelona
Tesis;Data Scientist;3.9;29000;31000;30000;EUR;yearly;Barcelona
Aimsun;Data Scientist;4.6;38000;41000;40000;EUR;yearly;Barcelona
Nexus Geographics;Data Scientist;4.5;21000;23000;22000;EUR;yearly;Barcelona
Magnus Commodities;Data Scientist;3.1;30000;33000;31000;EUR;yearly;Barcelona
Arquia Banca;Data Scientist;3.2;40000;44000;42000;EUR;yearly;Barcelona
Kh Lloreda;Data Scientist;2.6;1000;2000;1000;EUR;monthly;Barcelona
CRG;Data Scientist;3;29000;32000;30000;EUR;yearly;Barcelona
Momentum Worldwide;Data Scientist;3.6;43000;47000;45000;EUR;yearly;Barcelona
Prima Assicurazioni;Data Scientist;4.3;44000;48000;46000;EUR;yearly;Barcelona
Systelab Technologies;Data Scientist;3.7;42000;46000;44000;EUR;yearly;Barcelona
Afterpay;Data Scientist;4;42000;45000;43000;EUR;yearly;Barcelona
Zyte;Data Scientist;4.4;32000;35000;34000;EUR;yearly;Barcelona
Blue Yonder;Data Scientist;3.9;27000;29000;28000;EUR;yearly;Barcelona
Glovory;Data Scientist;3.6;67000;72000;70000;EUR;yearly;Barcelona
Zhilabs;Data Scientist;4;25000;26000;26000;EUR;yearly;Barcelona
Reply;Data Scientist;3.9;28000;30000;29000;EUR;yearly;Barcelona
Chemotargets;Data Scientist;-0.10000000149011612;26000;29000;27000;EUR;yearly;Barcelona
Trebol Energía;Data Scientist;4;27000;29000;28000;EUR;yearly;Barcelona
OneRagtime;Data Scientist;4.1;34000;36000;35000;EUR;yearly;Barcelona
Derbysoft;Data Scientist;4;44000;48000;46000;EUR;yearly;Barcelona
Upshelf;Data Scientist;1.9;29000;31000;30000;EUR;yearly;Barcelona
Mática;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Barcelona
Rubix Group;Data Scientist;3.7;46000;49000;48000;EUR;yearly;Barcelona
Science4Tech;Data Scientist;3.5;29000;31000;30000;EUR;yearly;Barcelona
Centre de Recerca Matemàtica;Data Scientist;4.8;10;10;10;EUR;hourly;Barcelona
Quercus Technologies;Data Scientist;4.5;36000;39000;38000;EUR;yearly;Barcelona
Open Cosmos;Data Scientist;4.1;43000;47000;45000;EUR;yearly;Barcelona
GPA Innovative;Data Scientist;2.6;27000;29000;28000;EUR;yearly;Barcelona
PHD;Data Scientist;3.9;3000;3000;3000;EUR;monthly;Barcelona
Universal Robots;Data Scientist;3.4;958;1000;1000;EUR;monthly;Barcelona
Talent Up;Data Scientist;5;8;8;8;EUR;hourly;Barcelona
Talent Up;Data Scientist;5;12000;13000;13000;EUR;yearly;Barcelona
GINDUMAC;Data Scientist;3.4;762;835;798;EUR;monthly;Barcelona
inAtlas;Data Scientist;4;32000;35000;34000;EUR;yearly;Barcelona
Wikiloc;Data Scientist;-0.10000000149011612;44000;47000;45000;EUR;yearly;Barcelona
Unknown Planner;Data Scientist;3.8;23000;25000;24000;EUR;yearly;Barcelona
elternativa;Data Scientist;1.8;21000;23000;22000;EUR;yearly;Barcelona
Hospital Universitari Joan XXIII;Data Scientist;4.8;46000;50000;48000;EUR;yearly;Barcelona
AleaSoft Energy Forecasting;Data Scientist;2;29000;31000;30000;EUR;yearly;Barcelona
Justinmind;Data Scientist;4.7;29000;31000;30000;EUR;yearly;Barcelona
IntelliSense.io;Data Scientist;4.4;49000;53000;51000;EUR;yearly;Barcelona
Ledmotive;Data Scientist;5;34000;37000;35000;EUR;yearly;Barcelona
Connecthink;Data Scientist;3;30000;34000;32000;EUR;yearly;Barcelona
Liceu Opera Barcelona;Data Scientist;3;951;1000;995;EUR;monthly;Barcelona
EOLOS Floating Lidar Solutions;Data Scientist;4;37000;40000;38000;EUR;yearly;Barcelona
Driving01;Data Scientist;4;24000;25000;24000;EUR;yearly;Barcelona
KU Leuven;Data Scientist;4.2;43000;47000;45000;EUR;yearly;Barcelona
Kings Games;Data Scientist;3.7;48000;52000;50000;EUR;yearly;Barcelona
DatActions;Data Scientist;3.5;20000;22000;21000;EUR;yearly;Barcelona
Input Output;Data Scientist;3.8;77000;84000;81000;EUR;yearly;Barcelona
Exportadora Data Base;Data Scientist;2;29000;31000;30000;EUR;yearly;Barcelona
