company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Sierra Nevada Corporation;Data Scientist;4;72000;78000;75000;EUR;yearly;Berlin
Common Sense Consulting;Data Scientist;2;3000;4000;3000;EUR;monthly;Berlin
Diëtistenpraktijk Samen Sterk;Data Scientist;2;48000;52000;50000;EUR;yearly;Berlin
Private TV;Data Scientist;4.1;57000;62000;60000;EUR;yearly;Berlin
Infarm;Data Scientist;3.1;30000;32000;31000;EUR;yearly;Berlin
ROKAF;Data Scientist;3.3;40000;43000;42000;EUR;yearly;Berlin
Rakuten Advertising;Data Scientist;3.6;58000;63000;60000;EUR;yearly;Berlin
Robert Koch Institut;Data Scientist;3.8;4000;4000;4000;EUR;monthly;Berlin
foodora;Data Scientist;3.5;63000;68000;65000;EUR;yearly;Berlin
Politecnico di Torino;Data Scientist;4.2;29000;31000;30000;EUR;yearly;Berlin
Ratepay;Data Scientist;3.8;42000;45000;43000;EUR;yearly;Berlin
Senacor Technologies;Data Scientist;4;58000;62000;60000;EUR;yearly;Berlin
Datasite;Data Scientist;4.2;5000;5000;5000;EUR;monthly;Berlin
Sony Music Entertainment;Data Scientist;3.7;71000;77000;74000;EUR;yearly;Berlin
Wiley-VCH;Data Scientist;3.3;76000;84000;80000;EUR;yearly;Berlin
Google;Data Scientist;4.3;39;41;40;EUR;hourly;Berlin
Amazon;Data Scientist;3.6;13;14;14;EUR;hourly;Berlin
Spoty Labs;Data Scientist;-0.10000000149011612;53000;57000;55000;EUR;yearly;Berlin
Media Markt;Data Scientist;3.4;57000;63000;60000;EUR;yearly;Berlin
CBTW;Data Scientist;3.8;52000;57000;55000;EUR;yearly;Berlin
The SaaS Co.;Data Scientist;2.9;1000;1000;1000;EUR;monthly;Berlin
Upvest;Data Scientist;4.5;69000;75000;72000;EUR;yearly;Berlin
adviqo;Data Scientist;3.2;44000;46000;45000;EUR;yearly;Berlin
Hella;Data Scientist;3.9;63000;68000;66000;EUR;yearly;Berlin
Universität Paderborn;Data Scientist;4.4;50000;54000;52000;EUR;yearly;Berlin
Loudly;Data Scientist;4.4;43000;47000;45000;EUR;yearly;Berlin
