company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
HP Inc.;Data Analyst;4.1;27000;32000;30000;EUR;yearly;Barcelona
Socialpoint;Data Analyst;4.1;40000;45000;43000;EUR;yearly;Barcelona
Sogeti;Data Analyst;3.4;21000;32000;26000;EUR;yearly;Barcelona
Boehringer Ingelheim;Data Analyst;4.1;50000;55000;53000;EUR;yearly;Barcelona
Banco Sabadell;Data Analyst;3.8;35000;45000;40000;EUR;yearly;Barcelona
ZITRO;Data Analyst;3.6;28000;28000;28000;EUR;yearly;Barcelona
ID Finance;Data Analyst;3.6;63000;75000;69000;EUR;yearly;Barcelona
dsm-firmenich;Data Analyst;3.8;32000;32000;32000;EUR;yearly;Barcelona
Ogilvy;Data Analyst;3.7;20000;24000;22000;EUR;yearly;Barcelona
Leadtech (Spain);Data Analyst;4.2;33000;35000;34000;EUR;yearly;Barcelona
Gartner;Data Analyst;4;55000;55000;55000;EUR;yearly;Barcelona
ExoClick;Data Analyst;3.7;29000;29000;29000;EUR;yearly;Barcelona
SCRM;Data Analyst;4.3;37000;40000;39000;EUR;yearly;Barcelona
Amazon Logistics;Data Analyst;3.6;27000;29000;28000;EUR;yearly;Barcelona
Accenture;Data Analyst;3.8;39000;42000;40000;EUR;yearly;Barcelona
BertIA;Data Analyst;5;30000;32000;31000;EUR;yearly;Barcelona
SDG Consultants;Data Analyst;4;25000;27000;26000;EUR;yearly;Barcelona
wefox;Data Analyst;3.1;46000;50000;48000;EUR;yearly;Barcelona
Autodesk;Data Analyst;4.2;44000;48000;46000;EUR;yearly;Barcelona
bolttech;Data Analyst;4;42000;46000;44000;EUR;yearly;Barcelona
NextLink Solutions;Data Analyst;3.6;53000;58000;56000;EUR;yearly;Barcelona
Miebach Consulting;Data Analyst;4.1;24000;27000;25000;EUR;yearly;Barcelona
Amplifon;Data Analyst;3.2;6;6;6;EUR;hourly;Barcelona
Media Markt;Data Analyst;3.4;25000;27000;26000;EUR;yearly;Barcelona
IQVIA;Data Analyst;3.8;29000;31000;30000;EUR;yearly;Barcelona
AirDNA;Data Analyst;3.5;32000;34000;33000;EUR;yearly;Barcelona
Prologis;Data Analyst;4.6;32000;35000;34000;EUR;yearly;Barcelona
Dynatrace;Data Analyst;4.1;44000;47000;46000;EUR;yearly;Barcelona
Colt Technology Services Group Limited;Data Analyst;4.2;29000;31000;30000;EUR;yearly;Barcelona
Mundo Deportivo (Spain);Data Analyst;3.7;31000;33000;32000;EUR;yearly;Barcelona
The Wittmore;Data Analyst;4.6;22000;23000;23000;EUR;yearly;Barcelona
Global;Data Analyst;3.4;1000;2000;1000;EUR;monthly;Barcelona
Sage;Data Analyst;3.5;34000;37000;36000;EUR;yearly;Barcelona
Fedefarma;Data Analyst;3.8;34000;37000;35000;EUR;yearly;Barcelona
Colvin;Data Analyst;3.4;29000;31000;30000;EUR;yearly;Barcelona
Ogilvy;Data Analyst;3.5;3000;3000;3000;EUR;monthly;Barcelona
Pawer;Data Analyst;3.9;27000;29000;28000;EUR;yearly;Barcelona
Damm;Data Analyst;4.2;34000;37000;35000;EUR;yearly;Barcelona
Marlex Human Capital;Data Analyst;3.8;22000;24000;23000;EUR;yearly;Barcelona
Capgemini;Data Analyst;3.8;25000;27000;26000;EUR;yearly;Barcelona
FocusEconomics;Data Analyst;3.5;24000;26000;25000;EUR;yearly;Barcelona
